Round Number, Alive Node
-1,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,50
80,50
81,50
82,50
83,50
84,50
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,50
126,50
127,50
128,50
129,50
130,50
131,50
132,50
133,50
134,50
135,50
136,50
137,50
138,50
139,50
140,50
141,50
142,50
143,50
144,50
145,50
146,50
147,50
148,50
149,50
150,50
151,50
152,50
153,50
154,50
155,50
156,50
157,50
158,50
159,50
160,50
161,50
162,50
163,50
164,50
165,50
166,50
167,50
168,50
169,50
170,50
171,50
172,50
173,50
174,50
175,50
176,50
177,50
178,50
179,50
180,50
181,50
182,50
183,50
184,50
185,50
186,50
187,50
188,50
189,50
190,50
191,50
192,50
193,50
194,50
195,50
196,50
197,50
198,50
199,50
200,50
201,50
202,50
203,50
204,50
205,50
206,50
207,50
208,50
209,50
210,50
211,50
212,50
213,50
214,50
215,50
216,50
217,50
218,50
219,50
220,50
221,50
222,50
223,50
224,50
225,50
226,50
227,50
228,50
229,50
230,50
231,50
232,50
233,50
234,50
235,50
236,50
237,50
238,50
239,50
240,50
241,50
242,50
243,50
244,50
245,50
246,50
247,50
248,50
249,50
250,50
251,50
252,50
253,50
254,50
255,50
256,50
257,50
258,50
259,50
260,50
261,50
262,50
263,50
264,50
265,50
266,50
267,50
268,50
269,50
270,50
271,50
272,50
273,50
274,50
275,50
276,50
277,50
278,50
279,50
280,50
281,50
282,50
283,50
284,50
285,50
286,50
287,50
288,50
289,50
290,50
291,50
292,50
293,50
294,50
295,50
296,50
297,50
298,50
299,50
300,50
301,50
302,50
303,50
304,50
305,50
306,50
307,50
308,50
309,50
310,50
311,50
312,50
313,50
314,50
315,50
316,50
317,50
318,50
319,50
320,50
321,50
322,50
323,50
324,50
325,50
326,50
327,50
328,50
329,50
330,50
331,50
332,50
333,50
334,50
335,50
336,50
337,50
338,50
339,50
340,50
341,50
342,50
343,50
344,50
345,50
346,50
347,50
348,50
349,50
350,50
351,50
352,50
353,50
354,50
355,50
356,50
357,50
358,50
359,50
360,50
361,50
362,50
363,50
364,50
365,50
366,50
367,50
368,50
369,50
370,50
371,50
372,50
373,50
374,50
375,50
376,50
377,50
378,50
379,50
380,50
381,50
382,50
383,50
384,50
385,50
386,50
387,50
388,50
389,50
390,50
391,50
392,50
393,50
394,50
395,50
396,50
397,50
398,50
399,50
400,50
401,50
402,50
403,50
404,50
405,50
406,50
407,50
408,50
409,50
410,50
411,50
412,50
413,50
414,50
415,50
416,50
417,50
418,50
419,50
420,50
421,50
422,50
423,50
424,50
425,50
426,50
427,50
428,50
429,50
430,50
431,50
432,50
433,50
434,50
435,50
436,50
437,50
438,50
439,50
440,50
441,50
442,50
443,50
444,50
445,50
446,50
447,50
448,50
449,50
450,50
451,50
452,50
453,50
454,50
455,50
456,50
457,50
458,50
459,50
460,50
461,50
462,50
463,50
464,50
465,50
466,50
467,50
468,50
469,50
470,50
471,50
472,50
473,50
474,50
475,50
476,50
477,50
478,50
479,50
480,50
481,50
482,50
483,50
484,50
485,50
486,50
487,50
488,50
489,50
490,50
491,50
492,50
493,50
494,50
495,50
496,50
497,50
498,50
499,50
500,50
501,50
502,50
503,50
504,50
505,50
506,50
507,50
508,50
509,50
510,50
511,50
512,50
513,50
514,50
515,50
516,50
517,50
518,50
519,50
520,50
521,50
522,50
523,50
524,50
525,50
526,50
527,50
528,50
529,50
530,50
531,50
532,50
533,50
534,50
535,50
536,50
537,50
538,50
539,50
540,50
541,50
542,50
543,50
544,50
545,50
546,50
547,50
548,50
549,50
550,50
551,50
552,50
553,50
554,50
555,50
556,50
557,50
558,50
559,50
560,50
561,50
562,50
563,50
564,50
565,50
566,50
567,50
568,50
569,50
570,50
571,50
572,50
573,50
574,50
575,50
576,50
577,50
578,50
579,50
580,50
581,50
582,50
583,50
584,50
585,50
586,50
587,50
588,50
589,50
590,50
591,50
592,50
593,50
594,50
595,50
596,50
597,50
598,50
599,50
600,50
601,50
602,50
603,50
604,50
605,50
606,50
607,50
608,50
609,50
610,50
611,50
612,50
613,50
614,50
615,50
616,50
617,50
618,50
619,50
620,50
621,50
622,50
623,50
624,50
625,50
626,50
627,50
628,50
629,50
630,50
631,50
632,50
633,50
634,50
635,50
636,50
637,50
638,50
639,50
640,50
641,50
642,50
643,50
644,50
645,50
646,50
647,50
648,50
649,50
650,50
651,50
652,50
653,50
654,50
655,50
656,50
657,50
658,50
659,50
660,50
661,50
662,50
663,50
664,50
665,50
666,50
667,50
668,50
669,50
670,50
671,50
672,50
673,50
674,50
675,50
676,50
677,50
678,50
679,50
680,50
681,50
682,50
683,50
684,50
685,50
686,50
687,50
688,50
689,50
690,50
691,50
692,50
693,50
694,50
695,50
696,50
697,50
698,50
699,50
700,50
701,50
702,50
703,50
704,50
705,50
706,50
707,50
708,50
709,50
710,50
711,50
712,50
713,50
714,50
715,50
716,50
717,50
718,50
719,50
720,50
721,50
722,50
723,50
724,50
725,50
726,50
727,50
728,50
729,50
730,50
731,50
732,50
733,50
734,50
735,50
736,50
737,50
738,50
739,50
740,50
741,50
742,50
743,50
744,50
745,50
746,50
747,50
748,50
749,50
750,50
751,50
752,50
753,50
754,50
755,50
756,50
757,50
758,50
759,50
760,50
761,50
762,50
763,50
764,50
765,50
766,50
767,50
768,50
769,50
770,50
771,50
772,50
773,50
774,50
775,50
776,50
777,50
778,50
779,50
780,50
781,50
782,50
783,50
784,50
785,50
786,50
787,50
788,50
789,50
790,50
791,50
792,50
793,50
794,50
795,50
796,50
797,50
798,50
799,50
800,50
801,50
802,50
803,50
804,50
805,50
806,50
807,50
808,50
809,50
810,50
811,50
812,50
813,50
814,50
815,50
816,50
817,50
818,50
819,50
820,50
821,50
822,50
823,50
824,50
825,50
826,50
827,50
828,50
829,50
830,50
831,50
832,50
833,50
834,50
835,50
836,50
837,50
838,50
839,50
840,50
841,50
842,50
843,50
844,50
845,50
846,50
847,50
848,50
849,50
850,50
851,50
852,50
853,50
854,50
855,50
856,50
857,50
858,50
859,50
860,50
861,50
862,50
863,50
864,50
865,50
866,50
867,50
868,50
869,50
870,49
871,49
872,49
873,49
874,49
875,49
876,49
877,48
878,48
879,48
880,48
881,48
882,47
883,47
884,47
885,46
886,45
887,45
888,45
889,44
890,43
891,42
892,40
893,39
894,39
895,39
896,39
897,38
898,37
